[2025/08/11 12:11:41] GET /cards 404  -  3.914 ms
[2025/08/11 12:11:41] GET /cards 404  -  1.256 ms
[2025/08/11 12:11:50] GET /cards 404  -  1.186 ms
[2025/08/11 12:11:50] GET /cards 404  -  2.266 ms
[2025/08/11 13:23:26] POST /cards 400  -  25.378 ms | Validation Error: "category" is required
[2025/08/11 13:24:25] POST /cards 400  -  7.983 ms | Validation Error: "price" is required,"rooms" is required,"category" is required
[2025/08/11 13:26:15] POST /cards 400  -  18.461 ms | Mongoose Error: E11000 duplicate key error collection: adServer.cards index: email_1 dup key: { email: "maorgross247@gmail.com" }
[2025/08/11 13:26:48] POST /cards 400  -  5.852 ms | Validation Error: "price" is required,"rooms" is required,"category" is required
[2025/08/11 13:27:27] POST /cards 400  -  5.445 ms | Validation Error: "price" is required,"rooms" is required
[2025/08/11 13:49:15] POST /cards 400  -  19.019 ms | Mongoose Error: E11000 duplicate key error collection: adServer.cards index: email_1 dup key: { email: "maorgross247@gmail.com" }
[2025/08/11 13:55:28] POST /cards 400  -  31.526 ms | Mongoose Error: E11000 duplicate key error collection: adServer.cards index: email_1 dup key: { email: "maorgross247@gmail.com" }
[2025/08/11 14:00:57] POST /cards 400  -  40.646 ms | Mongoose Error: E11000 duplicate key error collection: adServer.cards index: email_1 dup key: { email: "maorgross247@gmail.com" }
[2025/08/11 23:11:59] POST /cards 400  -  19.357 ms | Mongoose Error: E11000 duplicate key error collection: adServer.cards index: email_1 dup key: { email: "maorgross247@gmail.com" }
[2025/08/11 23:13:05] POST /cards 400  -  36.329 ms | Mongoose Error: E11000 duplicate key error collection: adServer.cards index: email_1 dup key: { email: "maorgross247@gmail.com" }
[2025/08/11 23:17:33] POST /cards 400  -  10.840 ms | Mongoose Error: E11000 duplicate key error collection: adServer.cards index: email_1 dup key: { email: "maorgross247@gmail.com" }
[2025/08/11 23:19:50] POST /cards 400  -  5.207 ms | Validation Error: "rooms" is required
[2025/08/11 23:30:05] POST /cards 400  -  15.429 ms | Validation Error: "category" is required
[2025/08/11 23:32:41] POST /cards 400  -  5.936 ms | Validation Error: "category" is required
[2025/08/11 23:33:24] POST /cards 400  -  5.949 ms | Validation Error: "price" is required,"rooms" is required
